epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.4225,4.82054,4.34017,3.89307,8e-05,0.00149,5e-05,1e-05,5.11771,4.20391,3.7387,0.0703333,0.0032963,0.0032963
2,58.5498,3.8304,3.65571,3.1907,0.01564,0.11341,0.01102,0.00315,3.20333,3.53713,2.76588,0.0402677,0.006564,0.006564
3,85.7524,3.3704,3.31316,2.70713,0.00336,0.01426,0.00128,0.00025,3.9525,inf,3.4116,0.0101361,0.0097657,0.0097657
4,114.473,3.00207,3.03928,2.54184,0.01012,0.02349,0.00568,0.0017,2.80948,inf,2.43035,0.009703,0.009703,0.009703
5,141.185,2.78849,2.69948,2.33594,0.03281,0.06425,0.02627,0.00952,3.26001,3.83817,2.66341,0.009604,0.009604,0.009604
6,165.342,2.55931,2.4755,2.19069,0.08605,0.14325,0.06953,0.0208,2.9137,2.59009,2.41897,0.009505,0.009505,0.009505
7,189.24,2.39004,2.32921,2.00179,0.2279,0.1799,0.10776,0.04174,2.23121,2.27004,1.91398,0.009406,0.009406,0.009406
8,213.057,2.24583,2.13145,1.86183,0.24325,0.1964,0.11753,0.04982,1.98946,2.10867,1.75663,0.009307,0.009307,0.009307
9,236.792,2.18815,2.05558,1.81349,0.1282,0.25564,0.15346,0.07133,1.85239,1.91869,1.65873,0.009208,0.009208,0.009208
10,260.518,2.0547,1.99116,1.72038,0.27295,0.32043,0.1605,0.07256,1.93963,1.90081,1.66596,0.009109,0.009109,0.009109
11,284.187,2.01238,1.91935,1.69459,0.2901,0.32648,0.19523,0.09333,1.78419,1.75674,1.56249,0.00901,0.00901,0.00901
12,307.965,1.94415,1.89602,1.65125,0.45813,0.29722,0.1953,0.09024,1.78018,1.75167,1.54807,0.008911,0.008911,0.008911
13,331.954,1.88941,1.81587,1.56993,0.46943,0.3251,0.21333,0.10492,1.69904,1.69073,1.49578,0.008812,0.008812,0.008812
14,355.899,1.82855,1.79421,1.53122,0.32068,0.33972,0.22759,0.11918,1.67209,1.68002,1.46286,0.008713,0.008713,0.008713
15,379.798,1.77385,1.77996,1.52655,0.32724,0.37201,0.24246,0.12789,1.70948,1.6621,1.46632,0.008614,0.008614,0.008614
16,403.688,1.75629,1.73041,1.48483,0.31131,0.4492,0.25386,0.13662,1.53854,1.62697,1.38896,0.008515,0.008515,0.008515
17,427.55,1.66761,1.69719,1.42862,0.49132,0.34947,0.26294,0.14716,1.52334,1.60419,1.36683,0.008416,0.008416,0.008416
18,451.306,1.66251,1.65975,1.41972,0.33503,0.42755,0.27072,0.1579,1.51772,1.56264,1.35682,0.008317,0.008317,0.008317
19,475.263,1.63373,1.65861,1.40768,0.35135,0.38781,0.27519,0.15384,1.44886,1.52857,1.33053,0.008218,0.008218,0.008218
20,499.157,1.62023,1.65174,1.42886,0.38448,0.49772,0.29369,0.16362,1.44217,1.49602,1.32936,0.008119,0.008119,0.008119
21,523.019,1.57917,1.66207,1.38385,0.42009,0.40369,0.30634,0.17309,1.40849,1.49135,1.29772,0.00802,0.00802,0.00802
22,546.702,1.53367,1.57983,1.35286,0.42708,0.4456,0.33086,0.18326,1.41932,1.49968,1.302,0.007921,0.007921,0.007921
23,570.603,1.5432,1.59534,1.36146,0.4365,0.40259,0.33448,0.18862,1.37956,1.45635,1.28185,0.007822,0.007822,0.007822
24,594.515,1.49239,1.54602,1.30694,0.42088,0.41397,0.34653,0.20194,1.3618,1.4652,1.26527,0.007723,0.007723,0.007723
25,618.13,1.49896,1.52498,1.32431,0.41009,0.44697,0.35199,0.20685,1.34497,1.41243,1.25868,0.007624,0.007624,0.007624
26,642.208,1.48415,1.52834,1.34346,0.57721,0.39163,0.34266,0.19702,1.39794,1.44671,1.2871,0.007525,0.007525,0.007525
27,665.967,1.43838,1.48084,1.29942,0.58872,0.40635,0.37929,0.23109,1.26962,1.40968,1.22453,0.007426,0.007426,0.007426
28,689.802,1.44563,1.4839,1.27871,0.41355,0.48096,0.38488,0.2307,1.32285,1.37626,1.23939,0.007327,0.007327,0.007327
29,713.731,1.41706,1.43519,1.25794,0.43351,0.4895,0.38241,0.22303,1.32308,1.38413,1.24158,0.007228,0.007228,0.007228
30,737.599,1.40206,1.43954,1.27027,0.58858,0.38673,0.39502,0.23784,1.28322,1.36189,1.22029,0.007129,0.007129,0.007129
31,761.559,1.39681,1.423,1.27637,0.61665,0.42395,0.40656,0.24363,1.25451,1.35147,1.21025,0.00703,0.00703,0.00703
32,785.516,1.39127,1.42365,1.28176,0.44811,0.50223,0.41551,0.24321,1.28383,1.35115,1.22247,0.006931,0.006931,0.006931
33,809.325,1.37617,1.41517,1.25984,0.47777,0.52394,0.43561,0.25913,1.22858,1.33547,1.19405,0.006832,0.006832,0.006832
34,833.166,1.37022,1.41386,1.24668,0.51907,0.50167,0.43492,0.26714,1.22377,1.31982,1.19163,0.006733,0.006733,0.006733
35,856.835,1.3618,1.39918,1.26915,0.4849,0.50887,0.43638,0.26876,1.23107,1.29064,1.19283,0.006634,0.006634,0.006634
36,880.516,1.33068,1.37704,1.24064,0.61127,0.44979,0.47457,0.29484,1.22064,1.30954,1.18432,0.006535,0.006535,0.006535
37,904.436,1.30989,1.34448,1.22629,0.50131,0.55609,0.47756,0.29684,1.23627,1.2843,1.18691,0.006436,0.006436,0.006436
38,928.262,1.34385,1.36797,1.23155,0.53211,0.53727,0.48542,0.30948,1.20096,1.25981,1.17072,0.006337,0.006337,0.006337
39,952.328,1.33062,1.34695,1.23629,0.52441,0.53174,0.48478,0.30471,1.22374,1.26114,1.18428,0.006238,0.006238,0.006238
40,976.074,1.29547,1.30498,1.19024,0.54677,0.57269,0.49734,0.31356,1.19002,1.24423,1.1684,0.006139,0.006139,0.006139
41,999.951,1.31517,1.33532,1.22816,0.52102,0.54728,0.49443,0.31785,1.17581,1.2449,1.16349,0.00604,0.00604,0.00604
42,1023.89,1.31122,1.34188,1.22375,0.5812,0.53521,0.50421,0.32111,1.17033,1.21782,1.15469,0.005941,0.005941,0.005941
43,1047.65,1.30199,1.30005,1.2366,0.56516,0.55256,0.49454,0.31731,1.18379,1.21359,1.16343,0.005842,0.005842,0.005842
44,1071.59,1.28725,1.29027,1.22394,0.62106,0.50756,0.51452,0.32126,1.18334,1.22033,1.16057,0.005743,0.005743,0.005743
45,1095.46,1.29916,1.31025,1.23117,0.57086,0.53234,0.5104,0.33132,1.17784,1.22576,1.1575,0.005644,0.005644,0.005644
46,1119.39,1.2722,1.25488,1.19285,0.60913,0.51333,0.52523,0.33796,1.18575,1.19877,1.16594,0.005545,0.005545,0.005545
47,1143.28,1.28007,1.28083,1.21048,0.58291,0.54849,0.53851,0.35216,1.17921,1.18675,1.15707,0.005446,0.005446,0.005446
48,1166.96,1.29566,1.25123,1.22154,0.61346,0.53104,0.5334,0.3498,1.1676,1.20075,1.1504,0.005347,0.005347,0.005347
49,1190.8,1.25844,1.23729,1.18865,0.62087,0.54563,0.5422,0.35659,1.15336,1.22422,1.14282,0.005248,0.005248,0.005248
50,1214.84,1.26427,1.25366,1.18127,0.59501,0.54078,0.53979,0.35758,1.14663,1.19451,1.14334,0.005149,0.005149,0.005149
51,1238.69,1.25694,1.23805,1.19278,0.65077,0.55026,0.54015,0.35799,1.1613,1.17473,1.14674,0.00505,0.00505,0.00505
52,1262.56,1.25808,1.23474,1.18054,0.64432,0.51128,0.54068,0.36693,1.14385,1.16821,1.13669,0.004951,0.004951,0.004951
53,1286.45,1.26159,1.28044,1.20105,0.57946,0.55334,0.53646,0.3603,1.13831,1.15993,1.13664,0.004852,0.004852,0.004852
54,1310.23,1.23536,1.22367,1.17595,0.66373,0.53508,0.56195,0.37827,1.13373,1.17719,1.12992,0.004753,0.004753,0.004753
55,1334.03,1.23263,1.22425,1.18481,0.62881,0.56699,0.55288,0.37264,1.136,1.13627,1.13268,0.004654,0.004654,0.004654
56,1357.62,1.2388,1.20853,1.1874,0.63536,0.54412,0.55283,0.37889,1.13036,1.13014,1.13169,0.004555,0.004555,0.004555
57,1381.63,1.22733,1.1976,1.16003,0.61824,0.58182,0.5601,0.37384,1.14242,1.13633,1.13539,0.004456,0.004456,0.004456
58,1405.32,1.22776,1.21498,1.17892,0.61572,0.56623,0.56149,0.37947,1.12434,1.11561,1.12812,0.004357,0.004357,0.004357
59,1429.07,1.2335,1.18819,1.18428,0.6249,0.56232,0.57062,0.39427,1.11751,1.12303,1.12462,0.004258,0.004258,0.004258
60,1452.85,1.21174,1.17146,1.17917,0.62616,0.55548,0.56795,0.38478,1.12342,1.1279,1.12683,0.004159,0.004159,0.004159
61,1476.65,1.2224,1.20493,1.16982,0.67163,0.52438,0.56204,0.38662,1.11448,1.11325,1.12183,0.00406,0.00406,0.00406
62,1500.3,1.20446,1.17931,1.17134,0.64491,0.55216,0.57931,0.39719,1.12997,1.12147,1.12742,0.003961,0.003961,0.003961
63,1524.1,1.20817,1.16246,1.16281,0.57868,0.63059,0.59228,0.40183,1.11687,1.09185,1.1223,0.003862,0.003862,0.003862
