epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.0853,4.18837,3.91933,3.60761,0.00051,0.01002,0.00027,6e-05,4.16427,inf,2.97012,0.070411,0.00328767,0.00328767
2,68.1999,2.69932,2.74715,2.26727,0.01429,0.11458,0.01551,0.00391,3.69982,3.03523,2.77253,0.0403891,0.00659916,0.00659916
3,103.289,2.17025,2.19107,1.83785,0.72877,0.01989,0.01519,0.00493,3.2582,inf,2.95557,0.0103453,0.00988864,0.00988864
4,132.242,1.87294,1.9697,1.64029,0.76274,0.0673,0.06745,0.02993,2.17645,inf,2.0632,0.009901,0.009901,0.009901
5,159.26,1.68201,1.79168,1.50686,0.05627,0.32369,0.13707,0.06818,1.83464,inf,1.68427,0.009868,0.009868,0.009868
6,185.076,1.53471,1.65375,1.39052,0.16694,0.25865,0.20447,0.11235,1.60969,inf,1.53205,0.009835,0.009835,0.009835
7,211.868,1.41897,1.55491,1.32741,0.18839,0.25308,0.22864,0.13886,1.43987,inf,1.35894,0.009802,0.009802,0.009802
8,235.897,1.32733,1.44793,1.27185,0.47121,0.21183,0.20751,0.11512,1.66536,inf,1.54204,0.009769,0.009769,0.009769
9,259.89,1.26524,1.37973,1.23253,0.36654,0.26772,0.25202,0.16381,1.34923,inf,1.31492,0.009736,0.009736,0.009736
10,284.19,1.23318,1.34303,1.21255,0.44764,0.31546,0.30522,0.19039,1.2811,1.39605,1.27828,0.009703,0.009703,0.009703
11,307.78,1.19222,1.28899,1.18317,0.41863,0.37274,0.29252,0.16998,1.48287,1.43422,1.40506,0.00967,0.00967,0.00967
12,331.795,1.16174,1.24721,1.16618,0.35541,0.41625,0.3764,0.22784,1.20632,inf,1.2127,0.009637,0.009637,0.009637
13,355.476,1.15618,1.22397,1.16065,0.39685,0.40436,0.38904,0.24227,1.16967,inf,1.17363,0.009604,0.009604,0.009604
14,379.343,1.12117,1.20124,1.14345,0.34617,0.42996,0.38865,0.25421,1.04892,inf,1.11205,0.009571,0.009571,0.009571
15,404.161,1.0947,1.15968,1.12772,0.3296,0.39673,0.35666,0.22581,1.20128,inf,1.19208,0.009538,0.009538,0.009538
16,428.978,1.07343,1.12222,1.10999,0.36407,0.37297,0.37097,0.24237,1.0633,inf,1.10961,0.009505,0.009505,0.009505
17,457.131,1.05706,1.11075,1.10351,0.35652,0.40541,0.39318,0.25598,1.03794,inf,1.09833,0.009472,0.009472,0.009472
18,482.467,1.04055,1.08274,1.09346,0.31039,0.36761,0.3499,0.23447,1.02953,inf,1.09395,0.009439,0.009439,0.009439
19,506.386,1.03604,1.071,1.09643,0.26828,0.34771,0.30696,0.20381,1.0533,inf,1.10353,0.009406,0.009406,0.009406
20,530.674,1.01793,1.04043,1.08418,0.2996,0.34126,0.33464,0.22331,1.0308,inf,1.08738,0.009373,0.009373,0.009373
21,554.386,1.01412,1.03303,1.08164,0.30962,0.40093,0.36325,0.24288,1.01713,inf,1.08268,0.00934,0.00934,0.00934
22,578.363,1.00563,1.03687,1.07745,0.43598,0.47511,0.432,0.27747,1.05207,inf,1.09247,0.009307,0.009307,0.009307
23,602.217,0.98827,0.99299,1.06796,0.40233,0.43718,0.41166,0.27255,0.96968,inf,1.05329,0.009274,0.009274,0.009274
24,625.806,0.97486,0.97976,1.06183,0.47501,0.47807,0.45291,0.29184,0.99991,inf,1.06546,0.009241,0.009241,0.009241
25,650.15,0.9677,0.9723,1.05842,0.41932,0.49371,0.44867,0.3016,0.93823,inf,1.03801,0.009208,0.009208,0.009208
26,673.864,0.96345,0.9702,1.0551,0.39787,0.44883,0.4061,0.2735,0.95464,inf,1.04766,0.009175,0.009175,0.009175
27,697.299,0.95325,0.96904,1.04834,0.44056,0.49265,0.45688,0.30407,0.96437,inf,1.05128,0.009142,0.009142,0.009142
28,720.788,0.94518,0.94199,1.04622,0.41075,0.46907,0.42657,0.29237,0.92828,inf,1.03497,0.009109,0.009109,0.009109
29,744.536,0.93671,0.92795,1.04012,0.42592,0.49144,0.4479,0.30009,0.94921,inf,1.04356,0.009076,0.009076,0.009076
30,769.306,0.93193,0.92181,1.03986,0.42876,0.48146,0.43804,0.29337,0.93297,inf,1.03579,0.009043,0.009043,0.009043
31,793.042,0.92179,0.9089,1.03404,0.42809,0.47922,0.44152,0.30205,0.89835,inf,1.01876,0.00901,0.00901,0.00901
32,816.553,0.92043,0.91894,1.03472,0.4088,0.49734,0.42284,0.29482,0.87412,inf,1.00749,0.008977,0.008977,0.008977
33,839.99,0.91394,0.88715,1.03192,0.44343,0.52151,0.47261,0.33043,0.88258,inf,1.00949,0.008944,0.008944,0.008944
34,863.278,0.91248,0.88025,1.0269,0.44904,0.51225,0.47909,0.32552,0.92778,inf,1.02778,0.008911,0.008911,0.008911
35,887.005,0.91388,0.88305,1.03098,0.46072,0.55092,0.50071,0.3436,0.89807,inf,1.01479,0.008878,0.008878,0.008878
