epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.1262,4.13879,3.87663,3.38619,0.00012,0.00238,6e-05,2e-05,3.90503,inf,2.82006,0.070411,0.00328767,0.00328767
2,86.3516,2.8827,2.85675,2.36012,0.03365,0.14054,0.03553,0.01252,2.68896,inf,2.19487,0.0403891,0.00659916,0.00659916
3,117.555,2.17387,2.22275,1.83703,0.02492,0.10997,0.02481,0.00919,3.025,inf,2.96995,0.0103453,0.00988864,0.00988864
4,142.939,1.81233,1.93629,1.58903,0.37708,0.08081,0.06065,0.02373,2.50263,inf,2.13236,0.009901,0.009901,0.009901
5,167.181,1.61524,1.76694,1.45727,0.09906,0.26813,0.13239,0.06823,1.79123,inf,1.63109,0.009868,0.009868,0.009868
6,190.979,1.48374,1.64012,1.3599,0.2321,0.1896,0.09994,0.04273,2.21755,inf,1.84423,0.009835,0.009835,0.009835
7,213.972,1.37227,1.53481,1.30128,0.13329,0.2679,0.16067,0.08856,1.74666,inf,1.60976,0.009802,0.009802,0.009802
8,237.278,1.29525,1.44721,1.25382,0.13935,0.29241,0.19015,0.1165,1.38237,inf,1.32123,0.009769,0.009769,0.009769
9,260.773,1.23947,1.37669,1.21636,0.33228,0.29308,0.24464,0.15341,1.29372,inf,1.25338,0.009736,0.009736,0.009736
10,284.04,1.20503,1.33565,1.19581,0.32967,0.33484,0.2584,0.17215,1.12731,inf,1.15383,0.009703,0.009703,0.009703
11,306.913,1.15947,1.27568,1.16537,0.42149,0.28772,0.27593,0.16018,1.38913,inf,1.34476,0.00967,0.00967,0.00967
12,330.182,1.12502,1.24626,1.14382,0.35829,0.31013,0.28712,0.19639,1.06271,inf,1.11181,0.009637,0.009637,0.009637
13,353.428,1.10082,1.2102,1.13066,0.3662,0.28947,0.27506,0.18275,1.12927,inf,1.1516,0.009604,0.009604,0.009604
14,377.249,1.0808,1.19067,1.12267,0.43229,0.3307,0.30801,0.20884,1.06158,inf,1.11401,0.009571,0.009571,0.009571
15,400.264,1.0642,1.15201,1.10958,0.38152,0.3717,0.34942,0.23179,1.06668,inf,1.10858,0.009538,0.009538,0.009538
16,423.109,1.03485,1.10825,1.08937,0.31766,0.34629,0.3435,0.234,1.02522,inf,1.08222,0.009505,0.009505,0.009505
17,445.952,1.03274,1.10917,1.08928,0.36492,0.37771,0.37033,0.24795,1.0313,inf,1.08937,0.009472,0.009472,0.009472
18,468.978,1.02013,1.07049,1.08332,0.34882,0.45099,0.38661,0.26558,0.99803,inf,1.07317,0.009439,0.009439,0.009439
19,492.508,1.00083,1.05669,1.07866,0.40193,0.47053,0.41878,0.28101,1.00968,inf,1.07343,0.009406,0.009406,0.009406
20,516.407,0.98874,1.0193,1.069,0.45229,0.47649,0.46568,0.31565,0.98525,1.0224,1.05865,0.009373,0.009373,0.009373
21,539.277,0.97914,1.00929,1.06428,0.40683,0.48856,0.45155,0.30673,0.99662,1.03843,1.07183,0.00934,0.00934,0.00934
22,562.428,0.96733,0.99333,1.05733,0.5426,0.4135,0.44005,0.29637,1.00336,inf,1.07752,0.009307,0.009307,0.009307
23,585.821,0.95921,0.96372,1.05292,0.40317,0.4501,0.42102,0.28474,0.96833,inf,1.05413,0.009274,0.009274,0.009274
24,608.94,0.95232,0.94159,1.05095,0.45727,0.51906,0.4885,0.33016,0.9331,1.04238,1.03591,0.009241,0.009241,0.009241
