epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.3891,4.05001,3.72138,3.32574,0.00031,0.00604,0.00016,4e-05,4.17923,inf,2.99035,0.070411,0.00328767,0.00328767
2,48.8713,2.7031,2.60109,2.24174,0.02603,0.19383,0.03012,0.00912,3.03381,inf,2.38632,0.0403891,0.00659916,0.00659916
3,67.3644,2.09942,2.1551,1.79583,0.02044,0.1703,0.0198,0.00744,3.03505,inf,2.68383,0.0103453,0.00988864,0.00988864
4,83.5316,1.74963,1.93213,1.55328,0.62705,0.09372,0.06479,0.03002,2.39625,inf,2.33902,0.009901,0.009901,0.009901
5,98.424,1.56321,1.7474,1.42616,0.25125,0.22082,0.15885,0.08595,1.65546,inf,1.52848,0.009868,0.009868,0.009868
6,113.708,1.43089,1.60583,1.32904,0.15907,0.2756,0.19437,0.10329,1.73926,inf,1.63329,0.009835,0.009835,0.009835
7,128.447,1.35327,1.5106,1.29057,0.15357,0.42178,0.23591,0.13835,1.42115,inf,1.35263,0.009802,0.009802,0.009802
8,142.508,1.26964,1.41233,1.23841,0.19405,0.35063,0.25997,0.158,1.36445,inf,1.28474,0.009769,0.009769,0.009769
9,156.672,1.21832,1.34904,1.20381,0.35087,0.35431,0.27286,0.17283,1.25494,inf,1.22586,0.009736,0.009736,0.009736
10,170.615,1.19305,1.32241,1.18966,0.34477,0.31114,0.22737,0.14108,1.48497,inf,1.4032,0.009703,0.009703,0.009703
11,184.286,1.15179,1.25814,1.15926,0.41093,0.36187,0.32282,0.21479,1.14908,inf,1.16462,0.00967,0.00967,0.00967
12,197.864,1.12468,1.23081,1.14415,0.53022,0.35129,0.34546,0.22678,1.16223,1.24103,1.18482,0.009637,0.009637,0.009637
13,212.049,1.10769,1.19715,1.1336,0.69673,0.37806,0.37507,0.2418,1.12676,1.17477,1.14885,0.009604,0.009604,0.009604
14,226.086,1.09201,1.17154,1.12931,0.57322,0.34344,0.33089,0.21473,1.13252,inf,1.17877,0.009571,0.009571,0.009571
15,239.922,1.07403,1.13633,1.11813,0.71392,0.37964,0.38656,0.25785,1.00973,1.1026,1.08518,0.009538,0.009538,0.009538
16,253.54,1.05782,1.09756,1.1026,0.74689,0.37602,0.39401,0.26177,0.98427,1.14764,1.06796,0.009505,0.009505,0.009505
17,267.213,1.03317,1.07338,1.08987,0.7607,0.3788,0.41335,0.27383,1.04648,1.01194,1.09522,0.009472,0.009472,0.009472
18,280.831,1.02376,1.05194,1.08555,0.73329,0.3652,0.40044,0.26965,1,1.0559,1.07647,0.009439,0.009439,0.009439
19,294.543,1.00575,1.03349,1.08247,0.66517,0.40223,0.42316,0.27969,1.01978,1.02887,1.08054,0.009406,0.009406,0.009406
20,308.204,0.98595,1.01016,1.06879,0.54627,0.39316,0.37999,0.26002,0.983,inf,1.06277,0.009373,0.009373,0.009373
21,321.934,0.97591,0.99331,1.06385,0.5318,0.42263,0.39192,0.27239,0.94332,inf,1.04802,0.00934,0.00934,0.00934
22,335.465,0.96576,0.97641,1.05725,0.38158,0.44546,0.41719,0.2804,0.98291,1.11132,1.0731,0.009307,0.009307,0.009307
23,349.085,0.95499,0.94339,1.05236,0.32747,0.38513,0.34163,0.24316,0.93618,inf,1.04434,0.009274,0.009274,0.009274
