epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.4248,3.85739,3.60554,3.13478,0.00036,0.00704,0.00019,5e-05,4.06318,inf,2.88686,0.070411,0.00328767,0.00328767
2,84.3189,2.46792,2.22807,1.9345,0.6825,0.1036,0.0736,0.01916,3.11107,2.43887,2.29811,0.0403891,0.00659916,0.00659916
3,114.903,1.87458,1.69605,1.53725,0.58814,0.28545,0.24198,0.12573,1.63883,1.51663,1.51294,0.0103453,0.00988864,0.00988864
4,144.187,1.50832,1.38505,1.31776,0.77543,0.29912,0.30688,0.19793,1.16667,inf,1.21059,0.009901,0.009901,0.009901
5,172.92,1.31927,1.18485,1.20424,0.85956,0.33177,0.39169,0.27349,1.01867,1.04157,1.1003,0.009868,0.009868,0.009868
6,201.699,1.21145,1.08804,1.14818,0.42923,0.38966,0.34823,0.24431,0.99653,inf,1.08678,0.009835,0.009835,0.009835
7,230.204,1.13606,1.00534,1.1095,0.81048,0.41403,0.45944,0.32234,0.91896,0.92909,1.03723,0.009802,0.009802,0.009802
8,258.495,1.09396,0.94789,1.08273,0.45868,0.58734,0.53954,0.38686,0.85601,0.78379,1.00653,0.009769,0.009769,0.009769
9,286.666,1.04741,0.90542,1.0613,0.43636,0.51927,0.50602,0.33726,1.02961,1.04729,1.08678,0.009736,0.009736,0.009736
10,315.885,1.01666,0.85861,1.04894,0.50464,0.65587,0.5931,0.42809,0.81002,0.73585,0.98405,0.009703,0.009703,0.009703
11,344.604,1.00377,0.84274,1.03931,0.53848,0.63294,0.62448,0.44721,0.80606,0.71569,0.97722,0.00967,0.00967,0.00967
12,372.626,0.98055,0.81363,1.02909,0.59581,0.64384,0.64834,0.46057,0.83358,0.67811,0.99252,0.009637,0.009637,0.009637
13,400.485,0.96037,0.79249,1.01969,0.59585,0.64475,0.64653,0.47207,0.7744,0.6924,0.96217,0.009604,0.009604,0.009604
14,428.559,0.93797,0.77517,1.00907,0.56845,0.69715,0.67269,0.49064,0.77172,0.71453,0.9609,0.009571,0.009571,0.009571
15,456.591,0.93104,0.76138,1.00564,0.59964,0.69796,0.68831,0.51005,0.74079,0.63006,0.94976,0.009538,0.009538,0.009538
16,485.078,0.9179,0.75279,0.9989,0.62421,0.70516,0.7065,0.52494,0.74061,0.62487,0.94864,0.009505,0.009505,0.009505
17,513.659,0.90709,0.74096,0.99475,0.64911,0.71092,0.72504,0.53345,0.75102,0.62188,0.94824,0.009472,0.009472,0.009472
18,541.577,0.88979,0.72196,0.989,0.67742,0.69415,0.72643,0.54171,0.72204,0.65508,0.93725,0.009439,0.009439,0.009439
19,569.995,0.88774,0.71887,0.98584,0.68868,0.70759,0.74277,0.55564,0.71806,0.61709,0.93643,0.009406,0.009406,0.009406
20,598.62,0.88074,0.71065,0.98535,0.70194,0.72164,0.75473,0.56673,0.70615,0.59067,0.93124,0.009373,0.009373,0.009373
21,626.308,0.8672,0.69796,0.97792,0.70869,0.71901,0.76238,0.57184,0.71491,0.61047,0.93218,0.00934,0.00934,0.00934
22,653.677,0.85924,0.69157,0.97495,0.74154,0.71757,0.77426,0.58327,0.71477,0.60019,0.93078,0.009307,0.009307,0.009307
23,681.771,0.86057,0.68941,0.97564,0.72142,0.75468,0.7878,0.59649,0.69312,0.56282,0.92408,0.009274,0.009274,0.009274
24,709.315,0.85194,0.67998,0.97123,0.74831,0.74742,0.79526,0.60394,0.68521,0.56418,0.92209,0.009241,0.009241,0.009241
25,736.665,0.84776,0.67671,0.96859,0.74464,0.7615,0.80204,0.60512,0.68998,0.57777,0.92169,0.009208,0.009208,0.009208
26,764.168,0.82812,0.65615,0.96332,0.75032,0.75805,0.8062,0.61448,0.67908,0.54707,0.91947,0.009175,0.009175,0.009175
