epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.3658,3.8542,3.51906,3.19043,0.00039,0.00772,0.00021,6e-05,4.0378,inf,2.86966,0.070411,0.00328767,0.00328767
2,77.2762,2.63633,2.52235,2.21652,0.01931,0.16127,0.02229,0.00792,3.01188,inf,2.35512,0.0403891,0.00659916,0.00659916
3,127.555,2.05243,2.1478,1.77307,0.01685,0.00571,0.00867,0.00419,5.32127,inf,10.0045,0.0103453,0.00988864,0.00988864
4,153.19,1.71118,1.87895,1.52804,0.91264,0.06458,0.06676,0.02788,2.13289,inf,2.03019,0.009901,0.009901,0.009901
5,174.35,1.54916,1.71922,1.41648,0.09396,0.20198,0.11951,0.06061,1.87396,inf,1.67108,0.009868,0.009868,0.009868
6,194.584,1.42197,1.57464,1.32085,0.35021,0.16152,0.1694,0.09628,1.68602,inf,1.57691,0.009835,0.009835,0.009835
7,216.057,1.33023,1.4865,1.2774,0.34427,0.19879,0.19253,0.11188,1.56227,inf,1.45556,0.009802,0.009802,0.009802
8,236.425,1.27117,1.40363,1.24053,0.3303,0.28176,0.24525,0.14692,1.34773,inf,1.27968,0.009769,0.009769,0.009769
9,256.681,1.21668,1.33756,1.20375,0.23851,0.35572,0.2837,0.17805,1.27908,inf,1.26535,0.009736,0.009736,0.009736
10,276.84,1.19107,1.30977,1.18901,0.23511,0.2896,0.25039,0.15429,1.40498,1.47472,1.33842,0.009703,0.009703,0.009703
11,297.035,1.1566,1.25628,1.16337,0.40926,0.39299,0.32372,0.21571,1.10882,inf,1.1454,0.00967,0.00967,0.00967
12,317.278,1.12431,1.21891,1.14492,0.43147,0.39216,0.34186,0.21798,1.19078,inf,1.19771,0.009637,0.009637,0.009637
13,336.946,1.10278,1.18905,1.13329,0.48061,0.38842,0.37424,0.24015,1.10592,inf,1.13523,0.009604,0.009604,0.009604
14,357.118,1.07827,1.17173,1.12197,0.50555,0.40267,0.40346,0.26562,0.99443,inf,1.07401,0.009571,0.009571,0.009571
15,377.029,1.05584,1.13884,1.10699,0.42259,0.38028,0.37948,0.24864,1.00682,inf,1.08446,0.009538,0.009538,0.009538
16,397.031,1.03273,1.09833,1.08932,0.32473,0.36558,0.37878,0.25032,1.03643,inf,1.09015,0.009505,0.009505,0.009505
17,417.133,1.02375,1.08507,1.08585,0.43399,0.3995,0.38751,0.25284,1.07371,inf,1.11037,0.009472,0.009472,0.009472
18,437.537,1.0073,1.05535,1.07676,0.3958,0.44714,0.40023,0.26379,1.06622,inf,1.1035,0.009439,0.009439,0.009439
19,457.86,1.00144,1.03748,1.07985,0.41481,0.40938,0.41898,0.27789,1.01678,inf,1.08071,0.009406,0.009406,0.009406
20,477.889,0.97841,1.00393,1.06516,0.44858,0.41894,0.42441,0.28735,0.97118,inf,1.05485,0.009373,0.009373,0.009373
21,497.472,0.97012,0.98876,1.05902,0.42063,0.42265,0.40612,0.28145,0.93843,inf,1.03933,0.00934,0.00934,0.00934
22,517.228,0.96644,0.98242,1.05617,0.44136,0.45836,0.43995,0.29966,0.94698,inf,1.04088,0.009307,0.009307,0.009307
23,536.965,0.95277,0.95571,1.04952,0.46124,0.46329,0.43538,0.29718,0.93232,inf,1.03669,0.009274,0.009274,0.009274
24,556.806,0.93863,0.9468,1.04353,0.44654,0.42426,0.42544,0.29034,0.91726,inf,1.02737,0.009241,0.009241,0.009241
25,576.765,0.93665,0.93817,1.04214,0.46841,0.45814,0.45042,0.30541,0.91862,inf,1.02739,0.009208,0.009208,0.009208
26,596.316,0.92462,0.92158,1.03542,0.52347,0.48882,0.48007,0.3287,0.8797,inf,1.01017,0.009175,0.009175,0.009175
27,615.897,0.91432,0.89977,1.02901,0.42088,0.47088,0.47024,0.33088,0.87338,inf,1.00669,0.009142,0.009142,0.009142
28,636.006,0.90858,0.88802,1.02818,0.49945,0.50513,0.47475,0.33067,0.87949,inf,1.01112,0.009109,0.009109,0.009109
29,655.814,0.89648,0.86774,1.0203,0.45455,0.50143,0.4866,0.33697,0.85868,inf,1.00149,0.009076,0.009076,0.009076
30,675.864,0.89076,0.87004,1.02013,0.4722,0.4897,0.48486,0.34109,0.87352,inf,1.00457,0.009043,0.009043,0.009043
31,696.074,0.88366,0.85266,1.01608,0.41032,0.50299,0.47612,0.33112,0.90704,inf,1.01529,0.00901,0.00901,0.00901
32,716.019,0.87594,0.84189,1.01424,0.44192,0.52463,0.4901,0.3492,0.8631,inf,1.00277,0.008977,0.008977,0.008977
33,735.625,0.87441,0.82177,1.01287,0.43095,0.51988,0.49848,0.35255,0.89338,inf,1.02084,0.008944,0.008944,0.008944
34,755.761,0.87303,0.82093,1.00789,0.46468,0.59751,0.53142,0.37836,0.86055,inf,1.00071,0.008911,0.008911,0.008911
35,776.277,0.86943,0.81177,1.00862,0.50953,0.61727,0.57145,0.40615,0.86839,inf,1.00171,0.008878,0.008878,0.008878
36,796.562,0.861,0.79972,1.00371,0.54601,0.61134,0.59429,0.42916,0.82389,inf,0.98022,0.008845,0.008845,0.008845
37,816.862,0.85313,0.78033,1.00237,0.53614,0.60954,0.58289,0.42146,0.84236,inf,0.98992,0.008812,0.008812,0.008812
38,836.479,0.85147,0.7713,0.99962,0.56836,0.64386,0.63256,0.45269,0.84381,0.81907,0.98791,0.008779,0.008779,0.008779
39,856.387,0.85075,0.77155,0.99822,0.57323,0.60621,0.6163,0.44379,0.84756,0.81528,0.99106,0.008746,0.008746,0.008746
40,875.921,0.83884,0.75996,0.99555,0.56624,0.63201,0.62197,0.45499,0.81276,0.79879,0.97667,0.008713,0.008713,0.008713
41,895.851,0.83303,0.74748,0.99384,0.62121,0.63747,0.65656,0.47909,0.79994,0.7252,0.97,0.00868,0.00868,0.00868
42,915.903,0.82969,0.74866,0.99073,0.63421,0.62536,0.65178,0.4749,0.80102,0.73011,0.96798,0.008647,0.008647,0.008647
43,936.053,0.83005,0.74199,0.98917,0.60511,0.65183,0.65483,0.48062,0.79379,0.73266,0.96833,0.008614,0.008614,0.008614
44,955.658,0.82677,0.73257,0.98775,0.63958,0.65985,0.67843,0.49151,0.81338,0.71548,0.9756,0.008581,0.008581,0.008581
45,975.472,0.82062,0.72181,0.98842,0.6609,0.67023,0.69652,0.50838,0.80728,0.66291,0.97141,0.008548,0.008548,0.008548
46,994.998,0.82062,0.71529,0.98518,0.62636,0.66492,0.67804,0.49897,0.7829,0.69407,0.9639,0.008515,0.008515,0.008515
47,1014.95,0.81525,0.70695,0.98486,0.63394,0.66521,0.68336,0.5023,0.78975,0.71795,0.963,0.008482,0.008482,0.008482
48,1034.7,0.81042,0.70092,0.97875,0.6619,0.68062,0.7084,0.52583,0.75276,0.64793,0.94887,0.008449,0.008449,0.008449
49,1054.54,0.81467,0.70018,0.9838,0.67249,0.67879,0.71907,0.52772,0.7741,0.63389,0.95606,0.008416,0.008416,0.008416
50,1074.32,0.8127,0.69884,0.98136,0.64846,0.67304,0.70433,0.5216,0.7471,0.63656,0.94674,0.008383,0.008383,0.008383
51,1094.02,0.80758,0.68968,0.97707,0.65744,0.67442,0.70937,0.52644,0.75442,0.64592,0.95074,0.00835,0.00835,0.00835
52,1113.53,0.80172,0.68666,0.97573,0.69174,0.67142,0.71209,0.5292,0.7409,0.64128,0.94303,0.008317,0.008317,0.008317
53,1133.04,0.80423,0.69305,0.9771,0.6663,0.67087,0.71173,0.52372,0.74523,0.62134,0.94431,0.008284,0.008284,0.008284
54,1152.56,0.8025,0.68658,0.97399,0.66756,0.69378,0.72,0.52871,0.74597,0.61798,0.94284,0.008251,0.008251,0.008251
55,1172.42,0.79449,0.6741,0.97259,0.67517,0.68545,0.72627,0.53819,0.73048,0.61464,0.93778,0.008218,0.008218,0.008218
56,1192.2,0.79056,0.67048,0.9729,0.65162,0.69776,0.72562,0.5369,0.73895,0.62668,0.94114,0.008185,0.008185,0.008185
57,1211.7,0.79339,0.67296,0.97049,0.69051,0.6788,0.72613,0.53805,0.72883,0.62115,0.93731,0.008152,0.008152,0.008152
58,1231.56,0.79317,0.66399,0.97336,0.66661,0.72227,0.74408,0.54989,0.72144,0.63498,0.93337,0.008119,0.008119,0.008119
59,1252.45,0.7942,0.66943,0.97205,0.69865,0.68764,0.74252,0.55042,0.72565,0.62321,0.9351,0.008086,0.008086,0.008086
60,1272.4,0.79058,0.66213,0.97139,0.68866,0.69008,0.73942,0.54821,0.71234,0.60038,0.93133,0.008053,0.008053,0.008053
