epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.6064,3.88281,3.51737,3.16918,0.00028,0.00544,0.00014,5e-05,4.02827,inf,2.87226,0.070411,0.00328767,0.00328767
2,49.0781,2.61767,2.48025,2.16869,0.29913,0.02968,0.00819,0.00218,3.70682,inf,2.7816,0.0403891,0.00659916,0.00659916
3,70.7623,1.95026,2.03063,1.69642,0.03497,0.09454,0.0245,0.01101,2.56544,inf,2.1239,0.0103453,0.00988864,0.00988864
4,90.1609,1.65876,1.83151,1.49158,0.22655,0.18414,0.11033,0.05719,1.99761,inf,1.91515,0.009901,0.009901,0.009901
5,108.528,1.48945,1.65199,1.37603,0.08056,0.45785,0.18493,0.10623,1.58163,inf,1.45082,0.009868,0.009868,0.009868
6,126.294,1.39775,1.54875,1.31155,0.15676,0.41477,0.23133,0.13547,1.48077,inf,1.40077,0.009835,0.009835,0.009835
7,144.052,1.31321,1.44069,1.26074,0.42795,0.16594,0.15693,0.07722,1.97935,inf,1.83687,0.009802,0.009802,0.009802
8,178.12,1.24036,1.36629,1.2197,0.01389,0.0866,0.01217,0.00565,3.52369,inf,2.64946,0.009769,0.009769,0.009769
9,207.965,1.19606,1.31133,1.19523,0.36581,0.34169,0.27844,0.18141,1.18671,inf,1.19241,0.009736,0.009736,0.009736
10,228.412,1.16938,1.264,1.17678,0.12935,0.48817,0.21292,0.13382,1.32301,inf,1.28216,0.009703,0.009703,0.009703
11,245.967,1.1387,1.21168,1.15342,0.39625,0.38206,0.33382,0.2214,1.10516,inf,1.1434,0.00967,0.00967,0.00967
12,262.918,1.12312,1.18723,1.14381,0.47149,0.36306,0.35097,0.21704,1.2702,inf,1.2353,0.009637,0.009637,0.009637
13,280.033,1.09246,1.15526,1.12689,0.49223,0.43934,0.38597,0.25483,1.09253,inf,1.12599,0.009604,0.009604,0.009604
14,297.089,1.06932,1.11594,1.11702,0.61359,0.33795,0.36623,0.2297,1.24949,inf,1.20607,0.009571,0.009571,0.009571
15,313.935,1.05266,1.08553,1.10404,0.46678,0.34237,0.35946,0.21866,1.27167,inf,1.22869,0.009538,0.009538,0.009538
16,330.943,1.02262,1.04467,1.09125,0.57116,0.39701,0.39257,0.26124,1.03837,inf,1.0998,0.009505,0.009505,0.009505
17,348.091,1.01599,1.02405,1.0845,0.67328,0.44093,0.45078,0.30118,1.04268,1.08911,1.09678,0.009472,0.009472,0.009472
18,364.869,0.98329,0.98358,1.0674,0.63233,0.43418,0.39636,0.25847,1.10505,inf,1.12813,0.009439,0.009439,0.009439
19,381.928,0.97589,0.96787,1.06436,0.65657,0.42756,0.42552,0.28827,0.98379,1.01567,1.06429,0.009406,0.009406,0.009406
